84, 809
772, 809
1237, 809
1239, 809
1241, 809
1243, 809
1245, 809
1247, 809
1249, 809
1251, 809
1253, 809
1255, 809
1257, 809
1259, 809
1261, 809
1263, 809
1305, 809
1307, 7047
1309, 7047
1311, 7047
1313, 7047
1315, 7047
1317, 7047
1319, 7047
1379, 809
1381, 809
1383, 809
1385, 809
1387, 809
1389, 809
1391, 809
1393, 809
1395, 809
1397, 809
1399, 809
1401, 809
1403, 809
1405, 809
1407, 809
1409, 809
1413, 809
2415, 7047
2416, 7047
2417, 7047
3053, 809
3054, 809
3170, 809
3171, 809
3172, 809
3173, 809
3174, 809
3175, 809
3176, 809
3190, 809
3192, 809
3194, 809
3196, 809
3198, 809
3200, 809
3202, 809
3204, 809
4151, 10080
4153, 1662
4158, 809
4170, 809
4580, 809
4582, 809
4584, 809
4675, 809
4710, 809
4726, 809
4734, 2074
4755, 2061
4862, 809
4863, 809
4864, 809
4865, 809
4910, 809
4911, 809
4912, 809
4913, 809
5016, 809
5704, 809
5706, 809
5708, 809
5710, 809
5712, 809
5714, 809
5716, 809
5718, 809
5720, 809
5722, 809
5724, 809
5726, 809
5728, 809
5730, 809
5734, 809
5736, 809
6562, 809
6563, 809
6599, 809
6603, 809
6609, 7047
6908, 809
6910, 809
6912, 809
6914, 809
7158, 7047
7809, 809
9084, 809
9091, 809
9092, 809
9093, 809
10150, 809
10440, 809
10442, 809
10444, 809
10887, 5869
11694, 7047
11696, 7047
11698, 7047
11700, 7047
11716, 809
11730, 7047
11736, 809
11738, 809
11953, 809
13406, 809
13430, 809
13454, 7047
13629, 809
13630, 809
13631, 809
13632, 809
13633, 809
13634, 809
13635, 809
13636, 809
13637, 809
13638, 809
13639, 809
13640, 809
13641, 809
13642, 809
